PID_PADRE, PID, NOMBRE, USUARIO (UID), ESTADO, RAM CONSUMIDA (KB)
-1, 0, swapper/0, 0, Running, 0
0, 1, systemd, 0, Interruptible, 167696
1, 412, systemd-journal, 0, Interruptible, 51636
1, 441, systemd-udevd, 0, Interruptible, 21880
1, 580, multipathd, 0, Interruptible, 280180
1, 655, systemd-network, 100, Interruptible, 26740
1, 657, systemd-resolve, 101, Interruptible, 23912
1, 672, accounts-daemon, 0, Interruptible, 235548
1, 677, cron, 0, Interruptible, 6812
1, 678, dbus-daemon, 103, Interruptible, 7616
1, 692, networkd-dispat, 0, Interruptible, 29008
1, 693, rsyslogd, 104, Interruptible, 224324
1, 695, snapd, 0, Interruptible, 632352
1, 700, systemd-logind, 0, Interruptible, 16804
1, 705, atd, 0, Interruptible, 3792
1, 706, containerd, 0, Interruptible, 742328
1, 711, dockerd, 0, Interruptible, 713488
1, 724, login, 0, Interruptible, 5976
724, 1187, bash, 1000, Interruptible, 11560
1187, 6575, sudo, 0, Interruptible, 9244
6575, 6576, cp, 0, Running, 7628
1, 738, unattended-upgr, 0, Interruptible, 107832
1, 748, sshd, 0, Interruptible, 12160
1, 814, polkitd, 0, Interruptible, 232700
1, 1181, systemd, 1000, Interruptible, 18668
1181, 1182, (sd-pam), 1000, Interruptible, 168912
1, 1467, VBoxService, 0, Interruptible, 292840
0, 2, kthreadd, 0, Interruptible, 0
2, 3, rcu_gp, 0, Unknown, 0
2, 4, rcu_par_gp, 0, Unknown, 0
2, 6, kworker/0:0H, 0, Unknown, 0
2, 8, kworker/u2:0, 0, Unknown, 0
2, 9, mm_percpu_wq, 0, Unknown, 0
2, 10, ksoftirqd/0, 0, Interruptible, 0
2, 11, rcu_sched, 0, Unknown, 0
2, 12, migration/0, 0, Interruptible, 0
2, 13, idle_inject/0, 0, Interruptible, 0
2, 14, cpuhp/0, 0, Interruptible, 0
2, 15, kdevtmpfs, 0, Interruptible, 0
2, 16, netns, 0, Unknown, 0
2, 17, rcu_tasks_kthre, 0, Interruptible, 0
2, 18, kauditd, 0, Interruptible, 0
2, 19, khungtaskd, 0, Interruptible, 0
2, 20, oom_reaper, 0, Interruptible, 0
2, 21, writeback, 0, Unknown, 0
2, 22, kcompactd0, 0, Interruptible, 0
2, 23, ksmd, 0, Interruptible, 0
2, 24, khugepaged, 0, Interruptible, 0
2, 116, kintegrityd, 0, Unknown, 0
2, 117, kblockd, 0, Unknown, 0
2, 118, blkcg_punt_bio, 0, Unknown, 0
2, 119, tpm_dev_wq, 0, Unknown, 0
2, 120, ata_sff, 0, Unknown, 0
2, 121, md, 0, Unknown, 0
2, 122, edac-poller, 0, Unknown, 0
2, 123, devfreq_wq, 0, Unknown, 0
2, 124, watchdogd, 0, Interruptible, 0
2, 128, kswapd0, 0, Interruptible, 0
2, 129, ecryptfs-kthrea, 0, Interruptible, 0
2, 132, kthrotld, 0, Unknown, 0
2, 133, acpi_thermal_pm, 0, Unknown, 0
2, 134, scsi_eh_0, 0, Interruptible, 0
2, 135, scsi_tmf_0, 0, Unknown, 0
2, 136, scsi_eh_1, 0, Interruptible, 0
2, 137, scsi_tmf_1, 0, Unknown, 0
2, 139, vfio-irqfd-clea, 0, Unknown, 0
2, 140, kworker/u2:3, 0, Unknown, 0
2, 142, ipv6_addrconf, 0, Unknown, 0
2, 153, kstrp, 0, Unknown, 0
2, 157, kworker/u3:0, 0, Unknown, 0
2, 173, charger_manager, 0, Unknown, 0
2, 209, scsi_eh_2, 0, Interruptible, 0
2, 210, scsi_tmf_2, 0, Unknown, 0
2, 215, cryptd, 0, Unknown, 0
2, 218, kworker/0:1H, 0, Unknown, 0
2, 256, irq/18-vmwgfx, 0, Interruptible, 0
2, 258, ttm_swap, 0, Unknown, 0
2, 295, raid5wq, 0, Unknown, 0
2, 343, jbd2/sda3-8, 0, Interruptible, 0
2, 344, ext4-rsv-conver, 0, Unknown, 0
2, 454, iprt-VBoxWQueue, 0, Unknown, 0
2, 576, kaluad, 0, Unknown, 0
2, 577, kmpath_rdacd, 0, Unknown, 0
2, 578, kmpathd, 0, Unknown, 0
2, 579, kmpath_handlerd, 0, Unknown, 0
2, 589, loop0, 0, Interruptible, 0
2, 590, loop1, 0, Interruptible, 0
2, 592, loop2, 0, Interruptible, 0
2, 594, loop3, 0, Interruptible, 0
2, 597, loop4, 0, Interruptible, 0
2, 598, loop5, 0, Interruptible, 0
2, 942, none, 0, Interruptible, 2488
2, 1447, kworker/0:5, 0, Unknown, 0
2, 4423, kworker/u2:1, 0, Unknown, 0
2, 4443, kworker/0:1, 0, Unknown, 0
